======================================================================
  HMOA EXPERIMENT — pop=200, iter=500, kmax=5, drones=3, wbl=0.2
  Workers: 20  |  Pending: 20
  Started: 2026-07-07 13:30:55
======================================================================
  [n40w80_001] n40w80_001 HMOA 1/15: PF=500, cost=[6192,6683], sat=[1.0,8.0], 54s
  [n40w80_003] n40w80_003 HMOA 1/15: PF=500, cost=[4694,5594], sat=[0.0,1.0], 55s
  [n20w80_003] n20w80_003 HMOA 1/15: PF=500, cost=[3838,6994], sat=[1.1,8.0], 63s
  [n20w80_001] n20w80_001 HMOA 1/15: PF=500, cost=[3948,6308], sat=[2.0,12.2], 63s
  [n20w80_002] n20w80_002 HMOA 1/15: PF=500, cost=[3393,8734], sat=[5.0,9.4], 80s
  [n40w80_003] n40w80_003 HMOA 2/15: PF=303, cost=[4793,4793], sat=[1.0,1.0], 26s
  [n40w80_005] n40w80_005 HMOA 1/15: PF=500, cost=[5423,8036], sat=[12.0,25.0], 85s
  [n40w80_004] n40w80_004 HMOA 1/15: PF=500, cost=[4853,7708], sat=[2.0,6.8], 89s
  [n20w80_005] n20w80_005 HMOA 1/15: PF=500, cost=[3931,6313], sat=[1.0,16.0], 90s
  [n60w80_001] n60w80_001 HMOA 1/15: PF=500, cost=[6336,7741], sat=[8.0,15.0], 101s
  [n20w80_004] n20w80_004 HMOA 1/15: PF=500, cost=[3719,9145], sat=[6.9,13.6], 102s
  [n60w80_002] n60w80_002 HMOA 1/15: PF=500, cost=[6108,8255], sat=[2.6,7.8], 107s
  [n40w80_002] n40w80_002 HMOA 1/15: PF=500, cost=[5477,10168], sat=[1.0,16.0], 110s
  [n20w80_001] n20w80_001 HMOA 2/15: PF=500, cost=[4139,6875], sat=[6.0,13.0], 48s
  [n20w80_003] n20w80_003 HMOA 2/15: PF=500, cost=[4247,7062], sat=[6.0,9.0], 54s
  [n40w80_003] n40w80_003 HMOA 3/15: PF=500, cost=[5057,5670], sat=[0.0,1.0], 43s
  [n20w80_002] n20w80_002 HMOA 2/15: PF=500, cost=[3465,6025], sat=[4.3,9.0], 69s
  [n60w80_003] n60w80_003 HMOA 1/15: PF=500, cost=[6604,11962], sat=[2.0,17.0], 152s
  [n40w80_001] n40w80_001 HMOA 2/15: PF=500, cost=[6673,10351], sat=[1.0,9.0], 102s
  [n40w80_003] n40w80_003 HMOA 4/15: PF=311, cost=[5106,5106], sat=[0.0,0.0], 39s
  [n60w80_004] n60w80_004 HMOA 1/15: PF=500, cost=[6715,11375], sat=[6.9,18.0], 177s
  [n20w80_003] n20w80_003 HMOA 3/15: PF=500, cost=[4258,7930], sat=[2.0,11.0], 62s
  [n20w80_004] n20w80_004 HMOA 2/15: PF=500, cost=[3729,8259], sat=[7.3,13.2], 87s
  [n40w80_005] n40w80_005 HMOA 2/15: PF=500, cost=[5482,8851], sat=[10.9,18.3], 104s
  [n80w80_002] n80w80_002 HMOA 1/15: PF=500, cost=[8106,11542], sat=[10.1,21.9], 190s
  [n40w80_004] n40w80_004 HMOA 2/15: PF=500, cost=[4896,7059], sat=[0.8,5.0], 103s
  [n20w80_001] n20w80_001 HMOA 3/15: PF=500, cost=[3948,7296], sat=[2.0,13.0], 83s
  [n40w80_002] n40w80_002 HMOA 2/15: PF=500, cost=[4142,8858], sat=[10.0,14.3], 92s
  [n40w80_003] n40w80_003 HMOA 5/15: PF=500, cost=[4682,4771], sat=[0.0,1.0], 43s
  [n60w80_001] n60w80_001 HMOA 2/15: PF=500, cost=[6267,10245], sat=[11.1,16.0], 129s
  [n20w80_005] n20w80_005 HMOA 2/15: PF=500, cost=[3885,8118], sat=[1.0,15.7], 140s
  [n20w80_002] n20w80_002 HMOA 3/15: PF=500, cost=[3441,5381], sat=[4.3,8.6], 85s
  [n40w80_001] n40w80_001 HMOA 3/15: PF=500, cost=[6647,8729], sat=[7.0,10.0], 80s
  [n80w80_004] n80w80_004 HMOA 1/15: PF=500, cost=[5376,9397], sat=[10.0,40.8], 236s
  [n60w80_002] n60w80_002 HMOA 2/15: PF=500, cost=[6134,7722], sat=[2.6,6.9], 145s
  [n80w80_001] n80w80_001 HMOA 1/15: PF=500, cost=[7208,14001], sat=[4.0,12.6], 256s
  [n40w80_004] n40w80_004 HMOA 3/15: PF=500, cost=[4877,6669], sat=[2.0,6.0], 65s
  [n40w80_003] n40w80_003 HMOA 6/15: PF=500, cost=[4944,5848], sat=[0.0,1.0], 55s
  [n20w80_003] n20w80_003 HMOA 4/15: PF=500, cost=[4239,8825], sat=[2.0,11.0], 87s
  [n20w80_001] n20w80_001 HMOA 4/15: PF=500, cost=[4131,7815], sat=[6.0,14.9], 74s
  [n80w80_005] n80w80_005 HMOA 1/15: PF=500, cost=[7722,12779], sat=[11.0,25.7], 268s
  [n60w80_005] n60w80_005 HMOA 1/15: PF=500, cost=[6486,15526], sat=[3.2,20.8], 269s
  [n20w80_004] n20w80_004 HMOA 3/15: PF=500, cost=[3798,7893], sat=[7.1,13.0], 96s
  [n40w80_001] n40w80_001 HMOA 4/15: PF=500, cost=[6444,6519], sat=[6.0,8.0], 52s
  [n40w80_005] n40w80_005 HMOA 3/15: PF=500, cost=[5422,6677], sat=[7.4,18.0], 103s
  [n20w80_005] n20w80_005 HMOA 3/15: PF=500, cost=[3940,6122], sat=[1.0,15.0], 79s
  [n20w80_002] n20w80_002 HMOA 4/15: PF=500, cost=[3441,7240], sat=[5.3,10.9], 76s
  [n80w80_003] n80w80_003 HMOA 1/15: PF=500, cost=[7447,14699], sat=[10.0,24.6], 313s
  [n40w80_003] n40w80_003 HMOA 7/15: PF=500, cost=[4742,6006], sat=[0.0,1.0], 56s
  [n40w80_004] n40w80_004 HMOA 4/15: PF=500, cost=[4684,6897], sat=[0.0,5.0], 71s
  [n20w80_001] n20w80_001 HMOA 5/15: PF=500, cost=[4150,5519], sat=[6.0,14.1], 63s
  [n60w80_004] n60w80_004 HMOA 2/15: PF=500, cost=[7146,13173], sat=[2.0,13.7], 157s
  [n20w80_003] n20w80_003 HMOA 5/15: PF=500, cost=[4079,7081], sat=[6.0,7.0], 77s
  [n40w80_003] n40w80_003 HMOA 8/15: PF=339, cost=[4670,4670], sat=[0.0,0.0], 28s
  [n80w80_002] n80w80_002 HMOA 2/15: PF=500, cost=[8014,12513], sat=[1.0,22.6], 157s
  [n60w80_002] n60w80_002 HMOA 3/15: PF=500, cost=[6293,7907], sat=[4.6,8.0], 96s
  [n60w80_003] n60w80_003 HMOA 2/15: PF=500, cost=[6402,11090], sat=[1.0,22.4], 197s
  [n60w80_001] n60w80_001 HMOA 3/15: PF=500, cost=[6427,9947], sat=[12.4,18.0], 121s
  [n40w80_001] n40w80_001 HMOA 5/15: PF=500, cost=[6643,7105], sat=[7.0,7.8], 66s
  [n40w80_002] n40w80_002 HMOA 3/15: PF=500, cost=[5421,7293], sat=[7.0,13.9], 151s
  [n80w80_004] n80w80_004 HMOA 2/15: PF=500, cost=[6287,12067], sat=[30.6,33.9], 117s
  [n20w80_004] n20w80_004 HMOA 4/15: PF=500, cost=[3798,5998], sat=[7.1,12.2], 84s
  [n40w80_004] n40w80_004 HMOA 5/15: PF=500, cost=[4765,5176], sat=[2.0,9.0], 52s
  [n40w80_003] n40w80_003 HMOA 9/15: PF=500, cost=[4627,5205], sat=[0.0,1.0], 39s
  [n20w80_002] n20w80_002 HMOA 5/15: PF=500, cost=[3484,8783], sat=[4.0,8.9], 85s
  [n20w80_005] n20w80_005 HMOA 4/15: PF=500, cost=[3887,7095], sat=[1.0,15.0], 94s
  [n40w80_003] n40w80_003 HMOA 10/15: PF=359, cost=[4663,4663], sat=[0.0,0.0], 26s
  [n20w80_003] n20w80_003 HMOA 6/15: PF=500, cost=[4239,5616], sat=[2.0,8.0], 73s
  [n20w80_001] n20w80_001 HMOA 6/15: PF=500, cost=[4143,7423], sat=[6.0,13.0], 87s
  [n40w80_005] n40w80_005 HMOA 4/15: PF=500, cost=[5391,7389], sat=[8.4,18.0], 142s
  [n80w80_001] n80w80_001 HMOA 2/15: PF=500, cost=[7625,12600], sat=[4.0,13.3], 182s
  [n40w80_003] n40w80_003 HMOA 11/15: PF=263, cost=[4685,4828], sat=[0.0,1.0], 29s
  [n80w80_003] n80w80_003 HMOA 2/15: PF=500, cost=[7070,9300], sat=[10.0,17.7], 130s
  [n40w80_001] n40w80_001 HMOA 6/15: PF=500, cost=[5981,8007], sat=[2.0,9.0], 91s
  [n40w80_002] n40w80_002 HMOA 4/15: PF=500, cost=[4364,8706], sat=[9.0,15.0], 95s
  [n60w80_004] n60w80_004 HMOA 3/15: PF=500, cost=[6946,7737], sat=[1.6,16.9], 117s
  [n60w80_005] n60w80_005 HMOA 2/15: PF=500, cost=[6133,10673], sat=[6.0,18.0], 184s
  [n40w80_004] n40w80_004 HMOA 6/15: PF=500, cost=[5036,5909], sat=[1.0,4.0], 75s
  [n60w80_002] n60w80_002 HMOA 4/15: PF=500, cost=[6366,8601], sat=[2.6,7.0], 118s
  [n40w80_003] n40w80_003 HMOA 12/15: PF=284, cost=[4740,4740], sat=[0.0,0.0], 27s
  [n80w80_005] n80w80_005 HMOA 2/15: PF=500, cost=[7555,9145], sat=[6.3,26.5], 201s
  [n20w80_004] n20w80_004 HMOA 5/15: PF=500, cost=[3734,7963], sat=[7.3,13.4], 106s
  [n20w80_002] n20w80_002 HMOA 6/15: PF=500, cost=[3468,10109], sat=[4.0,8.6], 80s
  [n20w80_003] n20w80_003 HMOA 7/15: PF=500, cost=[4266,7117], sat=[6.0,9.0], 70s
  [n20w80_005] n20w80_005 HMOA 5/15: PF=500, cost=[3909,6276], sat=[1.0,12.6], 86s
  [n20w80_001] n20w80_001 HMOA 7/15: PF=500, cost=[4143,10381], sat=[6.0,10.9], 82s
  [n40w80_001] n40w80_001 HMOA 7/15: PF=500, cost=[6601,8869], sat=[7.0,9.0], 65s
  [n80w80_002] n80w80_002 HMOA 3/15: PF=500, cost=[8492,17039], sat=[12.0,25.3], 164s
  [n40w80_005] n40w80_005 HMOA 5/15: PF=500, cost=[5503,8495], sat=[15.0,18.4], 92s
  [n60w80_001] n60w80_001 HMOA 4/15: PF=500, cost=[6164,10055], sat=[6.0,17.4], 175s
  [n40w80_003] n40w80_003 HMOA 13/15: PF=500, cost=[4722,6831], sat=[0.0,1.0], 64s
