======================================================================
  HMOA EXPERIMENT — pop=200, iter=500, kmax=5, drones=3, wbl=0.2
  Workers: 20  |  Pending: 20
  Started: 2026-07-08 00:08:30
======================================================================
  [n40w80_003] n40w80_003 HMOA 1/15: PF=395, cost=[5143,5143], sat=[1.0,1.0], 57s
  [n20w80_003] n20w80_003 HMOA 1/15: PF=500, cost=[3838,6311], sat=[1.1,8.0], 59s
  [n20w80_002] n20w80_002 HMOA 1/15: PF=500, cost=[3364,5433], sat=[3.0,9.0], 87s
  [n20w80_004] n20w80_004 HMOA 1/15: PF=500, cost=[3707,7599], sat=[7.3,13.1], 92s
  [n20w80_005] n20w80_005 HMOA 1/15: PF=500, cost=[3887,6140], sat=[1.0,17.0], 105s
  [n40w80_003] n40w80_003 HMOA 2/15: PF=322, cost=[4897,4897], sat=[1.0,1.0], 48s
  [n40w80_001] n40w80_001 HMOA 1/15: PF=500, cost=[6570,8225], sat=[7.0,10.0], 109s
  [n40w80_004] n40w80_004 HMOA 1/15: PF=500, cost=[5006,9119], sat=[1.0,4.8], 111s
  [n20w80_001] n20w80_001 HMOA 1/15: PF=500, cost=[4143,9777], sat=[6.0,15.0], 122s
  [n20w80_003] n20w80_003 HMOA 2/15: PF=500, cost=[3838,5306], sat=[1.1,8.0], 66s
  [n40w80_002] n40w80_002 HMOA 1/15: PF=500, cost=[4166,7601], sat=[11.0,18.0], 127s
  [n80w80_004] n80w80_004 HMOA 1/15: PF=420, cost=[6901,8398], sat=[13.0,24.0], 168s
  [n60w80_001] n60w80_001 HMOA 1/15: PF=500, cost=[6404,9004], sat=[9.0,21.0], 175s
  [n40w80_003] n40w80_003 HMOA 3/15: PF=500, cost=[4668,4760], sat=[0.0,1.0], 73s
  [n60w80_004] n60w80_004 HMOA 1/15: PF=500, cost=[6964,11734], sat=[1.7,14.0], 195s
  [n40w80_001] n40w80_001 HMOA 2/15: PF=500, cost=[6439,8335], sat=[7.0,10.0], 87s
  [n80w80_002] n80w80_002 HMOA 1/15: PF=500, cost=[8209,10693], sat=[9.0,19.0], 195s
  [n60w80_003] n60w80_003 HMOA 1/15: PF=500, cost=[6910,10983], sat=[3.0,15.0], 202s
  [n40w80_005] n40w80_005 HMOA 1/15: PF=500, cost=[5463,11070], sat=[12.3,21.1], 203s
  [n60w80_002] n60w80_002 HMOA 1/15: PF=500, cost=[6076,7646], sat=[2.6,7.8], 204s
  [n20w80_004] n20w80_004 HMOA 2/15: PF=500, cost=[3770,7865], sat=[7.9,14.3], 117s
  [n20w80_005] n20w80_005 HMOA 2/15: PF=500, cost=[3909,6152], sat=[1.0,14.0], 105s
  [n20w80_003] n20w80_003 HMOA 3/15: PF=500, cost=[4239,8834], sat=[2.0,11.7], 99s
  [n40w80_004] n40w80_004 HMOA 2/15: PF=500, cost=[5156,8583], sat=[1.0,9.0], 137s
  [n20w80_002] n20w80_002 HMOA 2/15: PF=500, cost=[3398,6171], sat=[3.4,8.8], 161s
  [n40w80_002] n40w80_002 HMOA 2/15: PF=500, cost=[4734,7474], sat=[9.0,14.3], 124s
  [n40w80_003] n40w80_003 HMOA 4/15: PF=500, cost=[4694,6711], sat=[0.0,1.0], 89s
  [n20w80_001] n20w80_001 HMOA 2/15: PF=500, cost=[4137,9475], sat=[6.0,14.9], 145s
  [n40w80_001] n40w80_001 HMOA 3/15: PF=500, cost=[6630,9618], sat=[7.0,8.0], 77s
  [n80w80_001] n80w80_001 HMOA 1/15: PF=500, cost=[7222,13167], sat=[0.0,14.6], 290s
  [n20w80_004] n20w80_004 HMOA 3/15: PF=500, cost=[3744,8511], sat=[7.3,12.4], 82s
  [n40w80_005] n40w80_005 HMOA 2/15: PF=500, cost=[5499,7553], sat=[15.1,18.7], 89s
  [n80w80_004] n80w80_004 HMOA 2/15: PF=500, cost=[6893,6982], sat=[20.9,21.0], 133s
  [n60w80_005] n60w80_005 HMOA 1/15: PF=500, cost=[6180,12433], sat=[1.4,27.2], 305s
  [n40w80_003] n40w80_003 HMOA 5/15: PF=309, cost=[4714,4714], sat=[0.0,0.0], 39s
  [n20w80_003] n20w80_003 HMOA 4/15: PF=500, cost=[4414,7035], sat=[5.0,8.0], 92s
  [n60w80_001] n60w80_001 HMOA 2/15: PF=500, cost=[6348,9503], sat=[11.0,16.2], 144s
  [n40w80_004] n40w80_004 HMOA 3/15: PF=500, cost=[4829,5239], sat=[2.0,9.0], 72s
  [n20w80_005] n20w80_005 HMOA 3/15: PF=500, cost=[3919,6938], sat=[1.0,16.5], 135s
  [n40w80_003] n40w80_003 HMOA 6/15: PF=329, cost=[4779,4779], sat=[1.0,1.0], 42s
  [n20w80_002] n20w80_002 HMOA 3/15: PF=500, cost=[3463,8803], sat=[4.3,8.5], 102s
  [n60w80_003] n60w80_003 HMOA 2/15: PF=500, cost=[7035,8836], sat=[7.7,15.0], 153s
  [n20w80_001] n20w80_001 HMOA 3/15: PF=500, cost=[4150,9273], sat=[6.0,15.4], 98s
  [n80w80_002] n80w80_002 HMOA 2/15: PF=500, cost=[7797,13571], sat=[7.5,15.8], 183s
  [n40w80_001] n40w80_001 HMOA 4/15: PF=500, cost=[6005,8505], sat=[2.0,8.0], 106s
  [n60w80_004] n60w80_004 HMOA 2/15: PF=500, cost=[7045,11206], sat=[4.0,12.0], 189s
  [n40w80_005] n40w80_005 HMOA 3/15: PF=500, cost=[5452,6494], sat=[20.0,21.0], 93s
  [n60w80_002] n60w80_002 HMOA 2/15: PF=500, cost=[6372,7346], sat=[2.7,7.0], 183s
  [n40w80_003] n40w80_003 HMOA 7/15: PF=411, cost=[4688,4688], sat=[0.0,0.0], 52s
  [n20w80_003] n20w80_003 HMOA 5/15: PF=500, cost=[3838,5306], sat=[1.1,8.0], 94s
  [n20w80_004] n20w80_004 HMOA 4/15: PF=500, cost=[3756,5730], sat=[7.3,12.0], 132s
  [n20w80_001] n20w80_001 HMOA 4/15: PF=500, cost=[4131,6592], sat=[6.0,10.0], 59s
  [n20w80_005] n20w80_005 HMOA 4/15: PF=500, cost=[3887,7045], sat=[1.0,15.0], 88s
  [n80w80_003] n80w80_003 HMOA 1/15: PF=500, cost=[7421,12668], sat=[10.0,25.0], 448s
  [n40w80_003] n40w80_003 HMOA 8/15: PF=392, cost=[4726,4726], sat=[0.0,0.0], 50s
  [n40w80_002] n40w80_002 HMOA 3/15: PF=500, cost=[5382,7080], sat=[7.1,12.9], 199s
  [n40w80_004] n40w80_004 HMOA 4/15: PF=500, cost=[4984,5931], sat=[1.6,4.0], 130s
  [n20w80_002] n20w80_002 HMOA 4/15: PF=500, cost=[3462,5443], sat=[6.3,9.0], 101s
  [n80w80_001] n80w80_001 HMOA 2/15: PF=500, cost=[7316,11307], sat=[4.0,13.3], 178s
  [n40w80_001] n40w80_001 HMOA 5/15: PF=500, cost=[6489,8652], sat=[7.0,10.0], 99s
  [n60w80_001] n60w80_001 HMOA 3/15: PF=500, cost=[6290,10894], sat=[5.0,14.6], 165s
  [n60w80_004] n60w80_004 HMOA 3/15: PF=500, cost=[6981,7512], sat=[10.7,15.2], 106s
  [n20w80_001] n20w80_001 HMOA 5/15: PF=500, cost=[4131,7123], sat=[6.0,15.4], 66s
  [n20w80_003] n20w80_003 HMOA 6/15: PF=500, cost=[3838,5070], sat=[1.1,8.0], 83s
  [n60w80_003] n60w80_003 HMOA 3/15: PF=500, cost=[6507,7073], sat=[0.0,19.5], 147s
  [n40w80_003] n40w80_003 HMOA 9/15: PF=500, cost=[4727,5619], sat=[0.0,1.0], 53s
  [n40w80_005] n40w80_005 HMOA 4/15: PF=500, cost=[5005,6333], sat=[11.5,20.0], 126s
  [n60w80_002] n60w80_002 HMOA 3/15: PF=500, cost=[6494,8757], sat=[3.7,7.0], 128s
  [n40w80_001] n40w80_001 HMOA 6/15: PF=485, cost=[6673,8817], sat=[6.0,8.6], 59s
  [n20w80_004] n20w80_004 HMOA 5/15: PF=500, cost=[3779,5816], sat=[7.1,12.0], 122s
  [n20w80_002] n20w80_002 HMOA 5/15: PF=500, cost=[3465,7417], sat=[4.3,10.9], 93s
  [n20w80_005] n20w80_005 HMOA 5/15: PF=500, cost=[3909,6007], sat=[1.0,12.9], 122s
  [n20w80_001] n20w80_001 HMOA 6/15: PF=500, cost=[4150,6127], sat=[6.0,16.0], 74s
  [n40w80_004] n40w80_004 HMOA 5/15: PF=500, cost=[4898,6899], sat=[0.0,5.0], 124s
