======================================================================
  HMOA EXPERIMENT — pop=200, iter=500, kmax=5, drones=3, wbl=0.2
  Workers: 20  |  Pending: 20
  Started: 2026-07-14 23:05:00
======================================================================
  [n40w80_003] n40w80_003 HMOA 1/15: PF=317, cost=[4696,4696], sat=[0.0,0.0], 49s
  [n40w80_001] n40w80_001 HMOA 1/15: PF=500, cost=[6969,9752], sat=[7.0,9.0], 65s
  [n40w80_005] n40w80_005 HMOA 1/15: PF=500, cost=[5385,6376], sat=[16.0,20.0], 73s
  [n40w80_004] n40w80_004 HMOA 1/15: PF=500, cost=[4816,5218], sat=[2.0,9.0], 74s
  [n20w80_001] n20w80_001 HMOA 1/15: PF=500, cost=[4075,6667], sat=[2.5,13.0], 81s
  [n20w80_003] n20w80_003 HMOA 1/15: PF=500, cost=[3821,9079], sat=[1.1,11.2], 85s
  [n20w80_005] n20w80_005 HMOA 1/15: PF=500, cost=[3917,7227], sat=[1.0,15.0], 90s
  [n20w80_004] n20w80_004 HMOA 1/15: PF=500, cost=[3795,6683], sat=[7.1,12.7], 92s
  [n60w80_003] n60w80_003 HMOA 1/15: PF=500, cost=[6657,11331], sat=[0.0,19.0], 117s
  [n40w80_003] n40w80_003 HMOA 2/15: PF=500, cost=[4683,6775], sat=[0.0,1.0], 75s
  [n40w80_002] n40w80_002 HMOA 1/15: PF=500, cost=[4375,6254], sat=[10.0,13.0], 135s
  [n20w80_002] n20w80_002 HMOA 1/15: PF=500, cost=[3540,8246], sat=[5.4,9.4], 136s
  [n60w80_001] n60w80_001 HMOA 1/15: PF=500, cost=[6382,9323], sat=[11.0,18.6], 137s
  [n60w80_002] n60w80_002 HMOA 1/15: PF=500, cost=[6369,6750], sat=[3.6,5.8], 146s
  [n20w80_004] n20w80_004 HMOA 2/15: PF=500, cost=[3729,4695], sat=[7.3,10.8], 55s
  [n40w80_001] n40w80_001 HMOA 2/15: PF=500, cost=[6681,17391], sat=[6.0,7.0], 89s
  [n20w80_003] n20w80_003 HMOA 2/15: PF=500, cost=[3838,6994], sat=[1.1,8.0], 74s
  [n60w80_005] n60w80_005 HMOA 1/15: PF=500, cost=[5960,11501], sat=[5.0,25.0], 160s
  [n60w80_004] n60w80_004 HMOA 1/15: PF=500, cost=[6842,11756], sat=[6.8,17.0], 169s
  [n20w80_005] n20w80_005 HMOA 2/15: PF=500, cost=[3896,6152], sat=[1.0,15.0], 89s
  [n40w80_004] n40w80_004 HMOA 2/15: PF=500, cost=[4976,5918], sat=[1.0,4.0], 106s
  [n20w80_001] n20w80_001 HMOA 2/15: PF=500, cost=[4150,8360], sat=[6.0,14.0], 108s
  [n80w80_001] n80w80_001 HMOA 1/15: PF=500, cost=[7102,12051], sat=[5.0,12.0], 195s
  [n40w80_005] n40w80_005 HMOA 2/15: PF=500, cost=[5492,7797], sat=[10.9,17.1], 123s
  [n40w80_003] n40w80_003 HMOA 3/15: PF=500, cost=[4850,6530], sat=[0.0,1.0], 76s
  [n20w80_002] n20w80_002 HMOA 2/15: PF=500, cost=[3506,4794], sat=[6.0,7.0], 64s
  [n80w80_003] n80w80_003 HMOA 1/15: PF=500, cost=[7407,12817], sat=[6.0,23.8], 203s
  [n80w80_002] n80w80_002 HMOA 1/15: PF=500, cost=[7741,10316], sat=[6.0,25.7], 205s
  [n20w80_003] n20w80_003 HMOA 3/15: PF=500, cost=[4239,6593], sat=[2.0,10.0], 60s
  [n40w80_002] n40w80_002 HMOA 2/15: PF=500, cost=[5407,7251], sat=[10.5,15.5], 85s
  [n40w80_001] n40w80_001 HMOA 3/15: PF=500, cost=[6583,8825], sat=[6.0,8.6], 78s
  [n80w80_005] n80w80_005 HMOA 1/15: PF=500, cost=[7001,11489], sat=[8.1,22.0], 234s
  [n20w80_004] n20w80_004 HMOA 3/15: PF=500, cost=[3764,7097], sat=[7.1,13.9], 101s
  [n80w80_004] n80w80_004 HMOA 1/15: PF=500, cost=[7149,11510], sat=[12.0,25.7], 258s
  [n20w80_005] n20w80_005 HMOA 3/15: PF=500, cost=[3952,6595], sat=[1.0,16.1], 84s
  [n40w80_003] n40w80_003 HMOA 4/15: PF=500, cost=[4825,6675], sat=[0.0,1.0], 65s
  [n60w80_003] n60w80_003 HMOA 2/15: PF=500, cost=[6980,10040], sat=[2.8,19.9], 149s
  [n20w80_001] n20w80_001 HMOA 3/15: PF=500, cost=[4131,5514], sat=[6.0,13.8], 86s
  [n40w80_004] n40w80_004 HMOA 3/15: PF=500, cost=[4775,6957], sat=[0.8,6.0], 100s
  [n20w80_002] n20w80_002 HMOA 3/15: PF=500, cost=[3521,6497], sat=[5.4,8.0], 84s
  [n40w80_002] n40w80_002 HMOA 3/15: PF=500, cost=[4366,8997], sat=[11.0,18.1], 72s
  [n40w80_005] n40w80_005 HMOA 3/15: PF=500, cost=[5373,7356], sat=[8.9,19.0], 97s
  [n20w80_003] n20w80_003 HMOA 4/15: PF=500, cost=[4184,8680], sat=[4.0,6.7], 75s
  [n40w80_003] n40w80_003 HMOA 5/15: PF=461, cost=[4715,4715], sat=[0.0,0.0], 47s
  [n60w80_001] n60w80_001 HMOA 2/15: PF=500, cost=[6370,11272], sat=[10.0,14.0], 182s
  [n40w80_001] n40w80_001 HMOA 4/15: PF=500, cost=[6589,8849], sat=[7.0,9.0], 91s
  [n80w80_001] n80w80_001 HMOA 2/15: PF=500, cost=[7150,11205], sat=[6.0,13.2], 146s
  [n20w80_004] n20w80_004 HMOA 4/15: PF=500, cost=[3741,7459], sat=[7.3,12.8], 98s
  [n20w80_001] n20w80_001 HMOA 4/15: PF=500, cost=[4075,7723], sat=[2.5,14.0], 76s
  [n20w80_005] n20w80_005 HMOA 4/15: PF=500, cost=[3937,6135], sat=[1.0,14.9], 93s
  [n20w80_003] n20w80_003 HMOA 5/15: PF=500, cost=[4239,6999], sat=[2.0,9.0], 65s
  [n40w80_005] n40w80_005 HMOA 4/15: PF=500, cost=[5453,6582], sat=[14.7,18.2], 77s
  [n60w80_002] n60w80_002 HMOA 2/15: PF=500, cost=[6121,8919], sat=[1.6,7.7], 224s
  [n20w80_002] n20w80_002 HMOA 4/15: PF=500, cost=[3483,7267], sat=[5.0,8.4], 92s
  [n60w80_004] n60w80_004 HMOA 2/15: PF=500, cost=[6881,10415], sat=[6.9,13.3], 216s
  [n40w80_003] n40w80_003 HMOA 6/15: PF=500, cost=[4686,7853], sat=[0.0,1.0], 76s
  [n80w80_004] n80w80_004 HMOA 2/15: PF=500, cost=[5532,10272], sat=[24.2,30.7], 131s
  [n40w80_002] n40w80_002 HMOA 4/15: PF=500, cost=[5119,7927], sat=[3.1,12.3], 98s
  [n40w80_001] n40w80_001 HMOA 5/15: PF=500, cost=[6405,7990], sat=[7.0,10.0], 73s
  [n80w80_005] n80w80_005 HMOA 2/15: PF=500, cost=[8127,13630], sat=[11.3,28.0], 165s
  [n40w80_003] n40w80_003 HMOA 7/15: PF=334, cost=[4655,4655], sat=[0.0,0.0], 33s
  [n60w80_005] n60w80_005 HMOA 2/15: PF=500, cost=[6330,14306], sat=[2.0,18.7], 261s
  [n20w80_001] n20w80_001 HMOA 5/15: PF=500, cost=[4131,6575], sat=[6.0,12.7], 77s
  [n20w80_003] n20w80_003 HMOA 6/15: PF=500, cost=[4247,6999], sat=[6.0,9.0], 71s
  [n40w80_004] n40w80_004 HMOA 4/15: PF=500, cost=[5036,8812], sat=[0.0,8.0], 151s
  [n60w80_001] n60w80_001 HMOA 3/15: PF=500, cost=[6338,9168], sat=[11.0,14.0], 114s
  [n20w80_005] n20w80_005 HMOA 5/15: PF=500, cost=[3908,7045], sat=[1.0,16.0], 84s
  [n80w80_002] n80w80_002 HMOA 2/15: PF=500, cost=[7921,14480], sat=[2.0,24.0], 237s
  [n40w80_003] n40w80_003 HMOA 8/15: PF=485, cost=[4724,4911], sat=[0.0,1.0], 40s
  [n20w80_004] n20w80_004 HMOA 5/15: PF=500, cost=[3702,8079], sat=[7.3,13.0], 122s
  [n40w80_001] n40w80_001 HMOA 6/15: PF=500, cost=[6557,10413], sat=[5.0,8.0], 79s
  [n60w80_003] n60w80_003 HMOA 3/15: PF=500, cost=[6741,10806], sat=[0.0,18.9], 210s
  [n20w80_002] n20w80_002 HMOA 5/15: PF=500, cost=[3409,5285], sat=[3.0,9.8], 102s
  [n40w80_002] n40w80_002 HMOA 5/15: PF=500, cost=[4346,6435], sat=[8.0,13.0], 95s
  [n80w80_001] n80w80_001 HMOA 3/15: PF=500, cost=[7498,12413], sat=[4.0,12.6], 145s
  [n40w80_005] n40w80_005 HMOA 5/15: PF=500, cost=[5449,6196], sat=[9.4,19.0], 127s
  [n20w80_003] n20w80_003 HMOA 7/15: PF=500, cost=[3838,5306], sat=[1.1,8.0], 72s
  [n20w80_001] n20w80_001 HMOA 6/15: PF=500, cost=[4144,6541], sat=[6.0,10.0], 74s
  [n40w80_003] n40w80_003 HMOA 9/15: PF=361, cost=[4735,4735], sat=[0.0,0.0], 51s
  [n40w80_004] n40w80_004 HMOA 5/15: PF=500, cost=[4718,7148], sat=[0.8,5.0], 92s
  [n40w80_001] n40w80_001 HMOA 7/15: PF=500, cost=[6295,6892], sat=[2.0,9.0], 68s
  [n80w80_003] n80w80_003 HMOA 2/15: PF=500, cost=[7236,15480], sat=[8.0,26.0], 343s
  [n80w80_004] n80w80_004 HMOA 3/15: PF=500, cost=[5715,8414], sat=[19.0,41.1], 157s
  [n20w80_002] n20w80_002 HMOA 6/15: PF=500, cost=[3807,4869], sat=[6.0,8.0], 73s
  [n20w80_004] n20w80_004 HMOA 6/15: PF=500, cost=[3729,7797], sat=[7.3,14.9], 89s
  [n40w80_003] n40w80_003 HMOA 10/15: PF=250, cost=[4673,4828], sat=[0.0,1.0], 53s
  [n20w80_005] n20w80_005 HMOA 6/15: PF=500, cost=[3885,7185], sat=[1.0,14.0], 124s
  [n60w80_002] n60w80_002 HMOA 3/15: PF=500, cost=[6453,9174], sat=[3.6,7.9], 197s
  [n20w80_003] n20w80_003 HMOA 8/15: PF=500, cost=[4239,8834], sat=[2.0,11.7], 74s
  [n60w80_001] n60w80_001 HMOA 4/15: PF=500, cost=[6296,14527], sat=[9.0,17.0], 147s
  [n40w80_005] n40w80_005 HMOA 6/15: PF=500, cost=[5421,6503], sat=[10.4,19.0], 96s
  [n40w80_003] n40w80_003 HMOA 11/15: PF=296, cost=[4760,4760], sat=[0.0,0.0], 39s
  [n40w80_004] n40w80_004 HMOA 6/15: PF=500, cost=[4987,5472], sat=[0.0,10.0], 84s
  [n40w80_001] n40w80_001 HMOA 8/15: PF=500, cost=[6412,8706], sat=[5.0,8.0], 75s
